ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
810	"ENSG00000067225.17"	"PKM"	chr15	-	72202453	72202620	72203021	72203188	72200473	72200655	72206727	72206880	810	0,2	15,2	1,2	4,4	216	216	0.245601895107	1.0	0.0,0.5	0.2,0.333	-0.017
953	"ENSG00000132768.13"	"DPH2"	chr1	+	43970965	43971189	43971386	43972070	43970595	43970708	43972157	43972334	953	0,0	2,0	2,0	0,0	273	733	1	1.0	0.0,NA	1.0,NA	-1.0
1160	"ENSG00000132676.15"	"DAP3"	chr1	+	155731943	155732033	155736945	155737063	155731355	155731415	155738156	155738529	1160	2,0	2,0	0,0	0,1	139	167	1	1.0	0.546,NA	NA,0.0	0.546
1181	"ENSG00000143401.14"	"ANP32E"	chr1	-	150229071	150229237	150230570	150230693	150226607	150226795	150231776	150231926	1181	0,1	2,1	0,0	1,0	172	215	1	1.0	0.0,0.556	0.0,NA	0.278
1227	"ENSG00000176393.10"	"RNPEP"	chr1	+	201989382	201989531	201996146	201996263	201988903	201989044	201997318	201997554	1227	1,0	0,0	0,1	0,1	198	166	1	1.0	1.0,NA	NA,0.456	0.544
1228	"ENSG00000176393.10"	"RNPEP"	chr1	+	201989382	201989531	201996146	201996409	201988903	201989044	201997318	201997554	1228	1,0	0,0	0,1	0,1	198	312	1	1.0	1.0,NA	NA,0.612	0.388
1229	"ENSG00000176393.10"	"RNPEP"	chr1	+	201996146	201996263	201997318	201997554	201989382	201989531	201999901	202000015	1229	0,0	0,1	0,1	0,0	166	285	1	1.0	NA,0.0	NA,1.0	-1.0
1268	"ENSG00000112715.21"	"VEGFA"	chr6	+	43778459	43778536	43782010	43782087	43777468	43777665	43784540	43784562	1268	0,1	0,0	0,0	1,0	126	126	1	1.0	NA,1.0	0.0,NA	1.0
1284	"ENSG00000184182.18"	"UBE2F"	chr2	+	238025341	238025412	238030555	238030613	238016565	238016633	238032221	238032254	1284	0,1	0,0	0,0	0,1	120	107	1	1.0	NA,1.0	NA,0.0	1.0
1344	"ENSG00000143537.13"	"ADAM15"	chr1	+	155053416	155053493	155053909	155053988	155052670	155052777	155054149	155054226	1344	1,0	1,0	0,1	0,0	126	128	1	1.0	0.504,NA	NA,1.0	-0.496
1511	"ENSG00000183624.13"	"HMCES"	chr3	+	129288853	129288997	129290678	129290804	129279709	129279915	129298353	129298535	1511	1,2	0,1	0,1	0,0	193	175	1	1.0	1.0,0.645	NA,1.0	-0.177
1642	"ENSG00000110080.18"	"ST3GAL4"	chr11	+	126407573	126407634	126408098	126408194	126407251	126407349	126408306	126408496	1642	0,1	0,0	0,0	1,0	110	145	1	1.0	NA,1.0	0.0,NA	1.0
1695	"ENSG00000049541.10"	"RFC2"	chr7	-	74246661	74246763	74249011	74249118	74243145	74243246	74249738	74249780	1695	1,0	0,0	0,1	2,0	156	151	1	1.0	1.0,NA	0.0,1.0	0.5
1794	"ENSG00000110958.15"	"PTGES3"	chr12	-	56670274	56670364	56671748	56671847	56666203	56666266	56672739	56672809	1794	0,2	0,2	0,3	0,2	148	139	1	1.0	NA,0.484	NA,0.585	-0.101
1795	"ENSG00000110958.15"	"PTGES3"	chr12	-	56671748	56671809	56672739	56672809	56670274	56670364	56672951	56673065	1795	0,0	0,1	1,0	0,0	119	110	1	1.0	NA,0.0	1.0,NA	-1.0
1800	"ENSG00000168615.11"	"ADAM9"	chr8	+	39082967	39083073	39090046	39090188	39082640	39082721	39091258	39091346	1800	0,1	1,1	0,1	0,0	155	191	1	1.0	0.0,0.552	NA,1.0	-0.724
1848	"ENSG00000164933.11"	"SLC25A32"	chr8	-	103403163	103403324	103404775	103404861	103401940	103402054	103407633	103407784	1848	0,1	0,0	0,0	1,0	135	210	1	1.0	NA,1.0	0.0,NA	1.0
1874	"ENSG00000063978.15"	"RNF4"	chr4	+	2497006	2497121	2500658	2500738	2490336	2490502	2511955	2511965	1874	0,0	1,0	1,2	0,0	164	129	1	1.0	0.0,NA	1.0,1.0	-1.0
1883	"ENSG00000064933.17"	"PMS1"	chr2	+	189863742	189863974	189867798	189867929	189854238	189855128	189873495	189873656	1883	0,1	1,0	0,2	0,0	281	180	1	1.0	0.0,1.0	NA,1.0	-0.5
1931	"ENSG00000149273.14"	"RPS3"	chr11	+	75402351	75402379	75404019	75404207	75401639	75401733	75404671	75404868	1931	3,4	8,4	0,1	6,7	77	237	0.000395832597105	0.0162291364813	0.536,0.755	0.0,0.305	0.493
1932	"ENSG00000149273.14"	"RPS3"	chr11	+	75402351	75402446	75404019	75404207	75401639	75401733	75404671	75404868	1932	9,5	8,4	3,1	6,7	144	237	0.0316577344746	0.648983556729	0.649,0.673	0.451,0.19	0.341
2048	"ENSG00000134333.13"	"LDHA"	chr11	+	18399430	18399548	18400836	18401010	18396818	18396968	18402839	18403013	2048	3,5	3,6	0,5	3,9	167	223	0.129063293556	1.0	0.572,0.527	0.0,0.426	0.337
2201	"ENSG00000092841.18"	"MYL6"	chr12	+	56159586	56159622	56159622	56159730	56158683	56158711	56159974	56160148	2201	1,1	2,1	1,0	6,0	85	157	1	1.0	0.48,0.649	0.235,NA	0.33
2236	"ENSG00000089157.15"	"RPLP0"	chr12	-	120198553	120198739	120198853	120199000	120197321	120197462	120199117	120199205	2236	6,12	9,15	7,9	13,18	196	235	0.38971892533	1.0	0.444,0.49	0.392,0.375	0.083
2277	"ENSG00000136104.20"	"RNASEH2B"	chr13	+	50929474	50929582	50930682	50930759	50927406	50927478	50934884	50934999	2277	0,1	0,0	1,2	1,2	157	126	1	1.0	NA,1.0	0.445,0.445	0.555
2305	"ENSG00000100462.15"	"PRMT5"	chr14	-	22927525	22927614	22928125	22928211	22926701	22926814	22928496	22928615	2305	0,1	0,0	0,0	0,1	135	138	1	1.0	NA,1.0	NA,0.0	1.0
2322	"ENSG00000182919.14"	"C11orf54"	chr11	+	93755209	93755386	93757315	93757465	93753935	93754037	93759741	93759858	2322	2,0	0,0	0,1	0,1	226	199	1	1.0	1.0,NA	NA,0.468	0.532
2372	"ENSG00000182718.16"	"ANXA2"	chr15	-	60364428	60364523	60386027	60386086	60360940	60361054	60397942	60397986	2372	2,5	10,7	1,6	10,9	108	144	0.79814507594	1.0	0.211,0.488	0.118,0.471	0.055
