ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
11349	"ENSG00000122566.20"	"HNRNPA2B1"	chr7	-	26197830	26197866	26197621	26197732	26200571	26200746	11349	15,13	0,0	0,0	0,13	85	49	1	1.0	1.0,1.0	NA,0.0	1.0
12165	"ENSG00000221983.7"	"UBA52"	chr19	+	18572350	18572607	18571874	18571909	18573292	18573403	12165	0,1	2,0	0,0	1,0	306	49	1	1.0	0.0,1.0	0.0,NA	0.5
12248	"ENSG00000110514.19"	"MADD"	chr11	+	47326737	47326807	47324470	47324577	47328657	47328704	12248	1,0	0,0	0,0	0,1	119	49	1	1.0	1.0,NA	NA,0.0	1.0
12333	"ENSG00000244687.11"	"UBE2V1"	chr20	-	50098881	50098964	50096671	50096820	50113106	50113167	12333	1,0	0,0	0,0	1,0	132	49	1	1.0	1.0,NA	0.0,NA	1.0
12334	"ENSG00000244687.11"	"UBE2V1"	chr20	-	50098881	50098981	50096671	50096820	50113106	50113198	12334	1,0	0,0	0,0	1,0	149	49	1	1.0	1.0,NA	0.0,NA	1.0
12464	"ENSG00000152795.17"	"HNRNPDL"	chr4	-	82425562	82425667	82424628	82424883	82426036	82426129	12464	0,1	0,0	0,0	1,0	154	49	1	1.0	NA,1.0	0.0,NA	1.0
12593	"ENSG00000119185.12"	"ITGB1BP1"	chr2	-	9407448	9407598	9403474	9406905	9408112	9408205	12593	3,2	0,0	3,2	1,0	199	49	1	1.0	1.0,1.0	0.425,1.0	0.287
12895	"ENSG00000197111.15"	"PCBP2"	chr12	+	53464759	53464852	53462480	53462567	53465931	53465973	12895	2,1	0,1	0,1	0,0	142	49	1	1.0	1.0,0.257	NA,1.0	-0.371
13459	"ENSG00000113387.11"	"SUB1"	chr5	+	32594570	32594872	32591562	32591685	32598960	32599069	13459	0,0	2,1	0,2	1,0	351	49	0.451200654873	1.0	0.0,0.0	0.0,1.0	-0.5
13600	"ENSG00000044115.20"	"CTNNA1"	chr5	+	138932887	138932958	138932577	138932712	138933801	138934831	13600	0,0	0,1	0,1	1,1	120	49	1	1.0	NA,0.0	0.0,0.29	-0.145
14034	"ENSG00000143774.16"	"GUK1"	chr1	+	228141123	228141507	228140317	228140363	228145510	228145624	14034	1,0	0,0	0,3	1,0	433	49	1	1.0	1.0,NA	0.0,1.0	0.5
14879	"ENSG00000141552.17"	"ANAPC11"	chr17	+	81893103	81893187	81891749	81891841	81893551	81893614	14879	0,0	0,1	0,1	0,0	133	49	1	1.0	NA,0.0	NA,1.0	-1.0
14952	"ENSG00000116521.10"	"SCAMP3"	chr1	-	155261656	155261734	155260536	155260659	155262085	155262259	14952	1,0	0,0	0,0	1,0	127	49	1	1.0	1.0,NA	0.0,NA	1.0
15844	"ENSG00000114942.13"	"EEF1B2"	chr2	+	206160886	206161132	206160587	206160710	206161345	206161472	15844	2,0	1,1	0,0	0,1	295	49	1	1.0	0.249,0.0	NA,0.0	0.124
16384	"ENSG00000112081.16"	"SRSF3"	chr6	+	36599820	36600276	36598848	36598983	36601151	36601190	16384	0,1	0,1	0,0	1,0	505	49	1	1.0	NA,0.088	0.0,NA	0.088
16555	"ENSG00000110700.6"	"RPS13"	chr11	-	17076442	17076547	17075530	17075623	17077167	17077246	16555	0,0	1,1	0,1	0,1	154	49	1	1.0	0.0,0.0	NA,0.241	-0.241
16641	"ENSG00000142910.15"	"TINAGL1"	chr1	+	31585752	31585876	31585439	31585485	31586709	31586755	16641	3,0	0,0	1,0	1,0	173	49	1	1.0	1.0,NA	0.221,NA	0.779
17364	"ENSG00000164292.12"	"RHOBTB3"	chr5	+	95755395	95755761	95752238	95752350	95763507	95763542	17364	0,0	0,1	4,3	0,0	415	49	1	1.0	NA,0.0	1.0,1.0	-1.0
17404	"ENSG00000077232.17"	"DNAJC10"	chr2	+	182739544	182739709	182736248	182736386	182740298	182740384	17404	0,0	1,0	0,1	0,0	214	49	1	1.0	0.0,NA	NA,1.0	-1.0
18471	"ENSG00000213741.10"	"RPS29"	chr14	-	49585949	49586049	49583571	49583675	49598399	49598690	18471	8,4	0,0	5,4	0,1	149	49	1	1.0	1.0,1.0	1.0,0.568	0.216
20001	"ENSG00000117525.13"	"F3"	chr1	-	94540571	94541066	94540256	94540368	94541536	94541759	20001	1,0	0,1	1,0	0,1	544	49	1	1.0	1.0,0.0	1.0,0.0	0.0
21128	"ENSG00000144136.10"	"SLC20A1"	chr2	+	112657121	112657241	112652701	112652798	112658973	112659094	21128	0,0	0,1	1,0	0,0	169	49	1	1.0	NA,0.0	1.0,NA	-1.0
21365	"ENSG00000023734.10"	"STRAP"	chr12	+	15883540	15883676	15882394	15882819	15889927	15890009	21365	0,0	0,1	0,1	0,0	185	49	1	1.0	NA,0.0	NA,1.0	-1.0
21425	"ENSG00000196262.13"	"PPIA"	chr7	+	44798747	44798904	44796680	44796793	44799246	44799277	21425	1,0	0,1	0,0	1,0	206	49	1	1.0	1.0,0.0	0.0,NA	0.5
21510	"ENSG00000117143.13"	"UAP1"	chr1	+	162592731	162592782	162590322	162590511	162597791	162597858	21510	1,0	0,0	0,0	1,0	100	49	1	1.0	1.0,NA	0.0,NA	1.0
21511	"ENSG00000117143.13"	"UAP1"	chr1	+	162592734	162592782	162590322	162590511	162597791	162597858	21511	1,0	0,0	0,0	1,0	97	49	1	1.0	1.0,NA	0.0,NA	1.0
21875	"ENSG00000117448.13"	"AKR1A1"	chr1	+	45568484	45568684	45567981	45568177	45568926	45568999	21875	2,3	0,0	0,1	0,1	249	49	1	1.0	1.0,1.0	NA,0.164	0.836
22431	"ENSG00000187109.13"	"NAP1L1"	chr12	-	76067370	76067473	76060137	76060279	76074202	76074239	22431	2,1	0,1	1,4	0,0	152	49	1	1.0	1.0,0.244	1.0,1.0	-0.378
22926	"ENSG00000115756.12"	"HPCAL1"	chr2	+	10424524	10424613	10422982	10423088	10426723	10427000	22926	0,1	0,2	0,0	0,3	138	49	1	1.0	NA,0.151	NA,0.0	0.151
23391	"ENSG00000143537.13"	"ADAM15"	chr1	+	155053909	155053988	155053416	155053493	155054149	155054226	23391	1,0	0,0	0,0	0,1	128	49	1	1.0	1.0,NA	NA,0.0	1.0
24073	"ENSG00000113558.18"	"SKP1"	chr5	-	134174461	134174514	134173925	134174022	134176854	134176950	24073	0,1	0,1	0,0	1,0	102	49	1	1.0	NA,0.325	0.0,NA	0.325
25374	"ENSG00000066697.14"	"MSANTD3"	chr9	+	100444127	100445237	100442148	100442356	100450556	100451229	25374	0,2	0,0	0,0	0,2	1159	49	1	1.0	NA,1.0	NA,0.0	1.0
25393	"ENSG00000183624.13"	"HMCES"	chr3	+	129290678	129290804	129288853	129288997	129298353	129298535	25393	0,1	1,0	0,1	0,0	175	49	1	1.0	0.0,1.0	NA,1.0	-0.5
25467	"ENSG00000135318.11"	"NT5E"	chr6	+	85490507	85490657	85489493	85489599	85491976	85492177	25467	1,1	0,0	1,2	0,1	199	49	1	1.0	1.0,1.0	1.0,0.33	0.335
26078	"ENSG00000137309.19"	"HMGA1"	chr6	+	34237203	34237317	34236872	34236963	34240736	34240882	26078	0,0	1,0	2,0	1,0	163	49	1	1.0	0.0,NA	0.375,NA	-0.375
26079	"ENSG00000137309.19"	"HMGA1"	chr6	+	34242711	34242795	34240736	34240915	34243467	34243518	26079	7,2	0,1	6,5	0,0	133	49	1	1.0	1.0,0.424	1.0,1.0	-0.288
26596	"ENSG00000135486.17"	"HNRNPA1"	chr12	+	54282799	54282874	54282572	54282665	54283811	54283878	26596	0,1	1,0	5,3	0,0	124	49	1	1.0	0.0,1.0	1.0,1.0	-0.5
26597	"ENSG00000135486.17"	"HNRNPA1"	chr12	+	54283078	54283234	54282799	54282874	54283811	54283967	26597	0,0	0,1	2,0	2,1	205	49	1	1.0	NA,0.0	0.193,0.0	-0.097
26644	"ENSG00000143753.12"	"DEGS1"	chr1	+	224191091	224191156	224190135	224190319	224192331	224192440	26644	0,1	1,0	0,0	1,0	114	49	1	1.0	0.0,1.0	0.0,NA	0.5
27986	"ENSG00000120860.10"	"WASHC3"	chr12	-	102017719	102017805	102012941	102013192	102025973	102026038	27986	1,0	0,0	0,0	0,1	135	49	1	1.0	1.0,NA	NA,0.0	1.0
28583	"ENSG00000049541.10"	"RFC2"	chr7	-	74249011	74249118	74246661	74246763	74249738	74249780	28583	1,0	0,0	0,1	1,0	156	49	1	1.0	1.0,NA	0.0,1.0	0.5
28817	"ENSG00000241468.7"	"ATP5J2"	chr7	-	99459146	99459263	99458189	99458355	99460085	99460193	28817	1,3	1,1	3,2	0,0	166	49	0.0612908536387	1.0	0.228,0.47	1.0,1.0	-0.651
29089	"ENSG00000110321.16"	"EIF4G2"	chr11	-	10807254	10807381	10806819	10806885	10808704	10808708	29089	0,1	0,1	1,2	0,0	176	49	1	1.0	NA,0.218	1.0,1.0	-0.782
29643	"ENSG00000124164.15"	"VAPB"	chr20	+	58440906	58441083	58418210	58418363	58444076	58444531	29643	1,1	0,0	0,0	0,1	226	49	1	1.0	1.0,1.0	NA,0.0	1.0
30248	"ENSG00000242372.7"	"EIF6"	chr20	-	35279565	35279747	35278910	35279206	35279941	35280118	30248	4,3	0,0	1,3	0,1	231	49	1	1.0	1.0,1.0	1.0,0.389	0.305
31132	"ENSG00000100097.11"	"LGALS1"	chr22	+	37678375	37678654	37676998	37677065	37679602	37679802	31132	10,6	1,0	7,6	0,0	328	49	1	1.0	0.599,1.0	1.0,1.0	-0.201
31133	"ENSG00000100097.11"	"LGALS1"	chr22	+	37678482	37678654	37676855	37677065	37679602	37679640	31133	10,10	1,0	9,8	0,0	221	49	1	1.0	0.689,1.0	1.0,1.0	-0.155
31161	"ENSG00000120963.11"	"ZNF706"	chr8	-	101202332	101202447	101201606	101201743	101205434	101205732	31161	0,1	0,0	0,0	1,0	164	49	1	1.0	NA,1.0	0.0,NA	1.0
31751	"ENSG00000138668.18"	"HNRNPD"	chr4	-	82356536	82356683	82355248	82355401	82356795	82356895	31751	3,0	2,2	1,1	1,0	196	49	0.629189819562	1.0	0.273,0.0	0.2,1.0	-0.463
31999	"ENSG00000161547.16"	"SRSF2"	chr17	-	76735771	76735875	76734146	76735158	76736153	76736464	31999	0,0	0,1	1,0	0,1	153	49	1	1.0	NA,0.0	1.0,0.0	-0.5
32195	"ENSG00000090316.15"	"MAEA"	chr4	+	1338421	1338617	1336860	1336994	1339073	1339177	32195	0,0	0,1	0,2	0,0	245	49	1	1.0	NA,0.0	NA,1.0	-1.0
32196	"ENSG00000090316.15"	"MAEA"	chr4	+	1338425	1338617	1336860	1336994	1339073	1340108	32196	0,0	0,1	0,2	0,0	241	49	1	1.0	NA,0.0	NA,1.0	-1.0
32451	"ENSG00000196305.17"	"IARS"	chr9	-	92240642	92240691	92229000	92229126	92240855	92240961	32451	0,2	0,0	0,0	1,0	98	49	1	1.0	NA,1.0	0.0,NA	1.0
32953	"ENSG00000187239.16"	"FNBP1"	chr9	-	129915965	129915980	129908889	129908999	129923843	129923939	32953	1,0	0,0	0,0	1,0	64	49	1	1.0	1.0,NA	0.0,NA	1.0
33419	"ENSG00000131876.16"	"SNRPA1"	chr15	-	101286213	101286293	101285725	101285801	101286907	101287010	33419	0,0	1,0	1,1	0,0	129	49	1	1.0	0.0,NA	1.0,1.0	-1.0
33948	"ENSG00000138326.19"	"RPS24"	chr10	+	78037438	78040225	78037193	78037304	78040614	78040716	33948	0,1	4,0	2,0	1,1	2836	49	1	1.0	0.0,1.0	0.033,0.0	0.483
33952	"ENSG00000138326.19"	"RPS24"	chr10	+	78040200	78040225	78037193	78037304	78040614	78040713	33952	0,1	4,0	0,0	1,1	74	49	1	1.0	0.0,1.0	0.0,0.0	0.5
33953	"ENSG00000138326.19"	"RPS24"	chr10	+	78040203	78040225	78037193	78037304	78040614	78040696	33953	0,1	4,0	0,0	1,1	71	49	1	1.0	0.0,1.0	0.0,0.0	0.5
34440	"ENSG00000151923.17"	"TIAL1"	chr10	-	119576846	119576905	119576610	119576750	119577079	119577214	34440	0,1	0,0	0,0	0,1	108	49	1	1.0	NA,1.0	NA,0.0	1.0
34627	"ENSG00000177600.8"	"RPLP2"	chr11	+	810233	810357	809646	810039	811596	811645	34627	12,17	1,0	2,3	0,0	173	49	1	1.0	0.773,1.0	1.0,1.0	-0.113
36125	"ENSG00000189159.15"	"HN1"	chr17	-	75149090	75149185	75148528	75148671	75154341	75154675	36125	0,1	2,0	0,0	0,2	144	49	1	1.0	0.0,1.0	NA,0.0	0.5
36373	"ENSG00000205581.10"	"HMGN1"	chr21	-	39345829	39345958	39345145	39345274	39348291	39348339	36373	0,2	1,1	0,0	0,1	178	49	1	1.0	0.0,0.355	NA,0.0	0.177
36479	"ENSG00000172269.18"	"DPAGT1"	chr11	-	119097854	119097925	119097463	119097551	119098402	119098487	36479	1,1	0,0	0,0	1,0	120	49	1	1.0	1.0,1.0	0.0,NA	1.0
36480	"ENSG00000172269.18"	"DPAGT1"	chr11	-	119097854	119098043	119097336	119097551	119098402	119098435	36480	2,2	0,0	0,0	1,0	238	49	1	1.0	1.0,1.0	0.0,NA	1.0
37357	"ENSG00000197930.12"	"ERO1A"	chr14	-	52683787	52683907	52682324	52682408	52695367	52695529	37357	1,0	0,0	0,0	1,0	169	49	1	1.0	1.0,NA	0.0,NA	1.0
37730	"ENSG00000092841.18"	"MYL6"	chr12	+	56160625	56160670	56160242	56160320	56161386	56161550	37730	1,0	1,1	0,0	0,1	94	49	1	1.0	0.343,0.0	NA,0.0	0.172
38241	"ENSG00000161203.13"	"AP2M1"	chr3	+	184180644	184180650	184180063	184180251	184180848	184180881	38241	0,0	1,0	0,1	0,1	55	49	1	1.0	0.0,NA	NA,0.471	-0.471
38413	"ENSG00000089157.15"	"RPLP0"	chr12	-	120198553	120198631	120197321	120197462	120198853	120199000	38413	5,4	0,2	5,2	0,0	127	49	0.394779860121	1.0	1.0,0.436	1.0,1.0	-0.282
38414	"ENSG00000089157.15"	"RPLP0"	chr12	-	120198553	120198739	120197321	120197462	120198853	120199000	38414	13,18	0,2	16,23	0,0	235	49	0.64666989025	1.0	1.0,0.652	1.0,1.0	-0.174
38415	"ENSG00000089157.15"	"RPLP0"	chr12	-	120198553	120198770	120197321	120197462	120198853	120199000	38415	9,16	0,2	14,18	0,0	266	49	0.585897829595	1.0	1.0,0.596	1.0,1.0	-0.202
40660	"ENSG00000182718.16"	"ANXA2"	chr15	-	60397257	60397338	60386027	60386086	60397942	60397964	40660	0,2	2,3	1,1	1,6	130	49	0.855222530802	1.0	0.0,0.201	0.274,0.059	-0.066
